1146;龍門龍濱路口;36;2;三重區;25.073475;121.500977;龍濱路192號對面;Sanchong Dist.;Longmen & Longbin Intersection;No.192, Longbin Rd. (opposite);
1147;青潭國小;40;17;新店區;24.953101;121.551813;北宜路2段149號對面;Xindian Dist.;Qing-Tan Elementary School;No.149, Sec. 2, Beiyi Rd. (opposite);
1148;金城忠義路口;34;4;土城區;24.969399;121.440808;金城路一段/忠義路;Tucheng Dist.;Jincheng Zhongyi Intersection;Sec. 1, Jincheng Rd./Zhongyi Rd.;
1149;華德公園;38;5;板橋區;24.991683;121.453320;四川路二段245巷60號對面;Banqiao Dist.;Huade Park;No.60, Ln. 245, Sec. 2, Sichuan Rd.;
1150;橋東里(忠孝東路);40;8;汐止區;25.073682;121.666257;忠孝東路484號至488號前;Xizhi Dist.;Qiaodong Village (Zhongxiao E. Rd.);No.484 to No.488, Zhongxiao E. Rd.;
1151;中山國中;38;8;板橋區;25.018559;121.467509;文化路一段188巷56號;Banqiao Dist.;Zhong Shan Junior High School;No.56, Ln. 188, Sec. 1, Wenhua Rd.;
1152;捷運土城站(2號出口);52;19;土城區;24.972631;121.443563;金城路1段/和平路;Tucheng Dist.;MRT Tucheng Sta.(Exit 2);Sec. 1, Jincheng Rd./Heping Rd.;
1153;四川遠東路口;48;8;板橋區;24.998003;121.457355;遠東路5號前人行道(四川路側);Banqiao Dist.;Sichuan & Yuandong Intersection;No.5, Yuandong Rd.;
1154;員林社區公園;42;3;土城區;24.977883;121.443237;員林街12巷對面;Tucheng Dist.;Yuanlin Community Park;Ln. 12, Yuanlin St. (opposite);
1155;中正橋;30;1;永和區;25.017757;121.516809;環河東路一段/光復街;Yonghe Dist.;Zhongzheng Bridge;Sec. 1, Huanhe E. Rd./Guangfu St.;
1156;北港國小;44;17;汐止區;25.089027;121.645946;汐萬路二段279號;Xizhi Dist.;Beigang Elementary School;No.279, Sec. 2, Xiwan Rd.;
1157;捷運新店站;54;16;新店區;24.958605;121.538659;中興路一段34號前(高架橋下停車場);Xindian Dist.;MRT Xindian Sta.;No.34, Sec. 1, Zhongxing Rd.;
1158;錦和運動公園;36;6;中和區;24.992086;121.490671;錦和路163號;Zhonghe Dist.;Jinhe Sports Park;No.163, Jinhe Rd.;
